Samuel Huntington,John Laurens,Jan. 1 1781
The Virginia Delegates,Thomas Jefferson,Jan. 1 1781
James Madison,Edmund Pendleton,Jan. 2 1781
James Jkladison,Ambrose Madison,Jan. 2 1781
John Sullivan,George Washington,Jan. 2 1781
Oliver Wolcott,Oliver Ellsworth,Jan. 2 1781
James Lovell,Samuel Hoi ten,Jan. 2 1781
Joseph Jones,Theodorick Bland,Jan. 2 1781
John Mathews,Nathanael Greene,Jan. 4 1781
John Sullivan,Joseph Reed,Jan. 6 1781
Ezekiel Cornell,William Greene,Jan. 7 1781
John Witherspoon,Joseph Reed,Jan. 7 1781
John Witherspoon,Joseph Reed,Jan. 7 1781
John Witherspoon,Samuel Huntington,Jan. 7 1781
John Sullivan,George Washington,Jan. 7 1781
John Sullivan,Joseph Reed,Jan. 8 1781
John Sullivan,Joseph Reed,Jan. 8 1781
John Sullivan,Samuel Huntington,Jan. 8 1781
Jesse Root,Jonathan Trumbull,Jan. 8 1781
James Lovell,Timothy Pickering,Jan. 8 1781
James Mitchell Varnum,William Greene,Jan. 8 1781
Samuel Huntington,the Several States,Jan. 9 1781
John Sullivan,Samuel Huntington,Jan. 9 1781
John Sullivan,George Washington,Jan. 9 1781
John Sullivan,Joseph Reed,Jan. 9 1781
James Madison,Thomas Jefferson,Jan. 9 1781
James Madison,Edmund Pendleton,Jan. 9 1781
Oliver Wolcott,Jonathan Trumbull,Jan. 9 1781
John Mathews,Nathanael Greene,Jan. 9 1781
John Sullivan,Samuel Huntington,Jan. 10 1781
John Sullivan,George Washington,Jan. 10 1781
John Sullivan,Samuel Huntington,Jan. 11 1781
Charles Thomson,Richard Peters,Jan. 11 1781
Samuel Huntington,John Hancock,Jan. 12 1781
John Sullivan,George Washington,Jan. 13 1781
John Sullivan,the Chevalier de la Luzerne,Jan. 13 1781
James IMadison,Nathanael Greene,Jan. 13 1781
James Lovell,Elbridge Gerry,Jan. 15 1781
John Sullivan,George Washington,Jan. 15 1781
Samuel Adams,Richard Henry Lee,Jan. 15 1781
William Floyd,George Clinton,Jan. 16 1781
The Connecticut Delegates,Jonathan Trumbull,Jan. 16 1781
Oliver Wolcott,Tapping Reeve,Jan. 16 1781
James Madison,Edmund Pendleton,Jan. 16 1781
The North Carolina Delegates,John Laurens,Jan. 16 1781
Samuel Huntington,Thomas Sim Lee,Jan. 18 1781
Charles Thomson,Thomas Johnson,Jan. 20 1781
John Sullivan,Meshech Weare,Jan. 21 1781
John Sullivan,John Wendell,Jan. 21 1781
James Lovell,Samuel Holten,Jan. 23 1781
James Madison,Edmund Pendleton,Jan. 23 1781
Samuel Huntington,George Washington,Jan. 24 1781
The Board of War,Samuel Huntington,Jan. 25 1781
Samuel Huntington,the States from Pennsylvania and New Hampshire,Jan. 27 1781
Jesse Root,William Williams,Jan. 29 1781
Jesse Root,Jonathan Trumbull,Jan. 29 1781
John Sullivan,George Washington,Jan. 29 1781
John Sullivan,Meshech Weare,Jan. 29 1781
James Mitchell Varnum,William Greene,Jan. 29 1781
John Mathews,William Livingston,Jan. 29 1781
James Duane,George Washington,Jan. 29 1781
John Mathews,George Washington,Jan. 30 1781
The Virginia Delegates,Thomas Jefferson,Jan. 30 1781
Thomas Burke,William Bingham,Jan. 30 1781
Samuel Huntington,Timothy Pickering,Feb. 2 1781
James Duane,Pierre Van Cortlandt and Evert Bancker,Feb. 3 1781
Thomas McKean,Thomas Collins,Feb. 3 1781
James Lovell,Timothy Pickering,Feb. 5 1781
John Sullivan,A'leshech Weare,Feb. 5 1781
Theodorick Bland,Richard Henry Lee,Feb. 6 1781
Thomas Burke,William Bingham,Feb. 6 1781
Samuel Huntington,the Several States,Feb. 8 1781
William Floyd,George Clinton. Feb. 8 1781
James Lovell,Samuel Holten,Feb. 8 1781
Jesse Root,Oliver Ellsworth,Feb. 8 1781
The Connecticut Delegates,Jonathan Trumbull,Feb. 9 1781
Theodorick Bland,Thomas Jefferson,Feb. 9 1781
John Mathews,Nathanael Greene. Feb. 10 1781
Samuel John Atlee,Joseph Reed,Feb. 11 1781
A Committee of Congress,Charles Pettit,Feb. 12 1781
James Madison,Edmund Pendleton,Feb. 12 1781
Daniel Carroll,Thomas Sim Lee,Feb. 13 1781
The Virginia Delegates,Thomas Jefferson,Feb. 13 1781
James Mitchell Varnum,Horatio Gates,Feb. 15 1781
Samuel Johnston,James Iredell,Feb. 15 1781
Theodorick Bland,Charles Pettit,Feb. 16 1781
Daniel Carroll,Thomas Sim Lee,Feb. 17 1781
