Nathan Dane,Edward Pullen,Jan. 8 1786
Nathan Dane,James Bowdoin,Jan. 10 1786
Pierse Long,John Langdon,Jan. 11 1786
James Monroe,Thomas Jefferson,Jan. 19 1786
Samuel Livermore,John Langdon,Jan. 20 1786
Nathan Dane,Samuel Phillips,Jan. 20 1786
James Monroe,William Short,Jan. 23 1786
The Chairman of Congress (David Ramsay),Certain States,Jan. 31 1786
Nathan Dane,John Choate,Jan. 31 1786
Nathan Dane,Jacoh Wtlet,Jan. 31 1786
Charles Thomson,the Several States,Feb. 1 1786
Rufus King,John Adams,Feb. 1 1786
Rufus King,John Adams,Feb. 3 1786
Nathan Dane,Samuel Holten,Feb. 4 1786
Samuel Livermore,John Langdon. Feb. 5 1786
James Monroe,James Madison,Feb. 9 1786
David Ramsay,Benjamin Rush,Feb. 11 1786
Pierse Long,John Langdon,Feb. 11 1786
Nathan Dane,Theodore Sedgwick,Feb. 11 1786
Nathan Dane,Thomas Dwight,Feb. 11 1786
Nathan Dane,Samuel Adams,Feb. 11 1786
James Monroe,James Madison,Feb. 11 1786
Nathan Dane,Justin Ely,Feb. 13 1786
Henry Lee,James Madison,Feb. 16 1786
Stephen Mix Mitchell,William Samuel Johnson,Feb. 21 1786
Charles Thomson,the States of Rhode Island; Delaware; North Carolina,Feb. 24 1786
Charles Thomson,Certain States,Feb. 28 1786
John Kean,John Jay,Feb. 28 1786
Charles Thomson,the Several States,Mar. 1 1786
Charles Thomson,Cyrus Griffin,Mar. 1 1786
Charles Thomson,George Read,Mar. 1 1786
Henry Lee,George Washington,Mar. 2 1786
Charles Thomson,Benjamin Franklin,Mar. 4 1786
Charles Thomson,Certain States,Mar. 4 1786
The South Carolina Delegates,William Moultrie,Mar. 4 1786
Rufus King,James Bowdoin,Mar. 5 1786
Nathaniel Gorham,James Warren,Mar. 6 1786
Charles Thomson,Charles Pinckney; Nathaniel Gorham; William Grayson,Mar. 7 1786
Stephen Mix Mitchell,Oliver Wolcott jr.,Mar. 7 1786
John Bayard,John Nicholson,Mar. 11 1786
David Ramsay,Henry Knox,Mar. 12 1786
William Hindman,unknown,Mar. 12 1786
Charles Pinckney,Speech before the New Jersey Assembly,Mar. 13 1786
Charles Thomson,William Livingston,Mar. 14 1786
William Grayson,Henry Knox,Mar. 14 1786
Pierse Long,John Langdon,Mar. 15 1786
James Monroe,James Madison,Mar. 19 1786
William Grayson,James Madison,Mar. 22 1786
William Grayson,Richard Henry Lee,Mar. 22 1786
Pierse Long,John Langdon,Mar. 29 1786
Rufus King,Elbridge Gerry,Mar. 29 1786
The Maryland Delegates,William Small wood,Apr. 2 1786
Nathaniel Gorham,James Bowdoin,Apr. 5 1786
The Maryland Delegates,William Smallwood,Apr. 6 1786
Rufus King,Elbridge Gerry,Apr. 9 1786
Nathaniel Peabody,John Langdon,Apr. 12 1786
The Connecticut Delegates,Matthew Griswold,Apr. 12 1786
Edward Carrington,Timothy Pickering,Apr. 13 1786
Edward Carrington,Timothy Pickering,Apr. 16 1786
Charles Thomson,Benjamin Hawkins,Apr. 18 1786
Rufus King,Elbridge Gerry,Apr. 19 1786
