id	 Agents for Vermont
1	 Assembly of Maryland
2	 Baltimore Committee
3	 Board of Admiralty
4	 Board of Treasury
5	 British Commissioners
6	 Chairman and Freeholders of Dutchess County
7	 Chairman of Pennsylvania Committee of Safety
8	 Chevalier de la Luzerne
9	 Chevalier de Laneuville
10	 Commissary-General of Issues
11	 Commissioners at Paris
12	 Commissioners for Indian Affairs
13	 Commissioners for Indian Affairs of Middle Department
14	 Commissioners for Indian Affairs of Norrn Department
15	 Commissioners from Maryland
16	 Commissioners in Paris
17	 Commissioners of Navy Board of Eastern Department
18	 Committee at Headquarters
19	 Committee for City and County of Albany
20	 Committee in Philadelphia
21	 Committee of Baltimore
22	 Committee of Correspondence of Cumberland County
23	 Committee of Pay-Table
24	 Committee of Safety
25	 Committee of Secret Correspondence
26	 Company of Rhode Island
27	 Comte de Grasse
28	 Comte de Rochambeau
29	 Continental Congress
30	 Convention of Maryland
31	 Council of Maryland
32	 Eastern States
33	 Governor of Georgia
34	 Governor of Maryland
35	 Governor of North Carolina
36	 Governor of Rhode Island
37	 Governor of South Carolina
38	 Inhabitants of Kaskaskias
39	 Judges appointed in Case of South Carolina vs. Georgia
40	 Judges of Court of Appeals
41	 Lancaster Committee of Correspondence
42	 Lancaster County Committee
43	 Marquis de Bouille
44	 Marquis de Lafayette
45	 Maryland Assembly
46	 Maryland Convention
47	 Maryland Convention or Committee of Safety
48	 Maryland Council
49	 Maryland Council of Safety
50	 Massachusetts Assembly
51	 Massachusetts Council
52	 Massachusetts Provincial Congress
53	 Medical Committee
54	 Navy Board
55	 Navy Board of Eastern Department
56	 New Hampshire Assembly
57	 New Hampshire Committee of Safety
58	 New Hampshire Convention
59	 New Hampshire Convention or Committee of Safety
60	 New Hampshire Provincial Committee
61	 New Jersey Assembly
62	 New Jersey Convention
63	 New Jersey Provincial Convention
64	 New York Assembly
65	 New York Committee of Safety
66	 New York Convention
67	 New York Council of Safety
68	 New York Delegates
69	 New York Provincial Congress
70	 North Carolina Assembly
71	 North Carolina Convention
72	 North Carolina Council of Safety
73	 North Carolina Delegates
74	 North Carolina General Assembly
75	 North Carolina Provincial Congress
76	 Officer Commanding in Philadelphia
77	 Officers of New Hampshire Line
78	 Pennsylvania Committee of Safety
79	 Pennsylvania Council
80	 Pennsylvania Council of Safety
81	 Postmaster at Philadelphia
82	 President of Congress (Arthur St. Clair)
83	 President of Congress (Nathaniel Gorham)
84	 President of Massachusetts Council
85	 President of New Hampshire
86	 President of New York Congress
87	 President of North Carolina Convention
88	 President of Pennsylvania
89	 President of Pennsylvania Committee of Safety
90	 President of United States (George Washington )
91	 Provincial Congress
92	 Quartermaster-General
93	 Reverend John Ettwein
94	 Rhode Island Assembly
95	 Secret Committee at Charleston
96	 Several States
97	 South Carohna Delegates
98	 Speaker of House of Representatives
99	 Special Council of Eastern Shore of Maryland
100	 State of Delaware
101	 State of Maryland
102	 State of New Hampshire
103	 State of New Jersey
104	 State of North Carolina
105	 State of Pennsylvania
106	 State of Rhode Island
107	 State of Virginia
108	 States from New Hampshire
109	 States from New Hampshire to Maryland
110	 States from New Hampshire to Virginia
111	 Thirteen States
112	a Committee of Citizens of Philadelphia
113	A Committee of Congress
114	a Committee of Massachusetts Assembly
115	a Continental Officer
116	a Gentleman in London
117	A. George Read
118	Abner Nash
119	Abraham Baldwin
120	Abraham Clark
121	Abraham Ten Broeck
122	Abraham Yates jr.
123	Abrahant Gark
124	Abstract of Debates
125	Address before Committee on state Rights of Colonies
126	Address before Massachusetts House of Representatives
127	Ahraham Clark
128	Airs. Read
129	Alexander Contee Hanson
130	Alexander Hamilton
131	Alexander James Dallas
132	Alexander Macomb
133	Alexander Martin
134	Alexander McDougal
135	Alexander McDougall
136	Alexander Scammell
137	Allen Jones
138	Ambrose Madison
139	Andrew Adams
140	Andrew Allen
141	Andrew Huntington
142	Andrew Lewis
143	Anthony Wayne
144	Archibald Bulloch
145	Archibald Lochry
146	Archibald Stuart
147	Artemas Ward
148	Artemus Ward
149	Arthur Campbell
150	Arthur Lee
151	Arthur Middleton
152	Arthur St. Clair
153	Attorney-General
154	Augustin Alottin de La Balme
155	Azariah Dunham
156	Azariah Horton
157	Baron de Kalb
158	Baron de Knobelauch
159	Baron Steuben
160	Bartholomew Tardiveau
161	Battist
162	Benedict Arnold
163	Beniamin Franklin
164	Benj amin Franklin
165	Benjamin Austin
166	Benjamin Bankson
167	Benjamin Bourne
168	Benjamin Contee
169	Benjamin Franklin
170	Benjamin Harrison
171	Benjamin Harwood
172	Benjamin Hawkins
173	Benjamin Hiarrison
174	Benjamin Hichborn
175	Benjamin Huntington
176	Benjamin Kent
177	Benjamin Lincoln
178	Benjamin Logan
179	Benjamin Rumsey
180	Benjamin Rush
181	Benjamin Trumbull
