id,Label,Source,Target,Type,Timestamp
1,John Adams,John Adams,Diary,Directed,1774-09-03 12:00:00
2,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-03 12:01:00
3,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-04 12:00:00
4,Joseph Galloway,Joseph Galloway,William Franklin,Directed,1774-09-03 12:02:00
5,John Adams,John Adams,Diary,Directed,1774-09-05 12:00:00
6,James Duane,James Duane,Notes of Proceedings,Directed,1774-09-05 12:01:00
7,Joseph Galloway,Joseph Galloway,William Franklin,Directed,1774-09-05 12:02:00
8,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-05 12:03:00
9,John Adams,John Adams,Diary,Directed,1774-09-06 12:00:00
10,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-06 12:01:00
11,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-06 12:02:00
12,James Duane,James Duane,Notes of Proceedings,Directed,1774-09-06 12:03:00
13,John Adams,John Adams,Notes of Debates,Directed,1774-09-06 12:04:00
14,James Duane,James Duane,Notes of Proceedings,Directed,1774-09-07 12:00:00
15,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-07
16,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-07
17,John Adams,John Adams,Diary,Directed,1774-09-07
18,John Adams,John Adams,Mrs. Adams,Directed,1774-09-08
19,John Adams,John Adams,Diary,Directed,1774-09-08
20,John Adams,John Adams,Notes of Debates,Directed,1774-09-08
21,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-08
22,James Duane,James Duane,Address before Committee on state Rights of Colonies,Directed,1774-09-08
23,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-08
24,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-09
25,Samuel Adams,Samuel Adams,Joseph Warren,Directed,1774-09-09
26,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-09
27,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-09
28,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-10
29,John Adams,John Adams,Diary,Directed,1774-09-10
30,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-10
31,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-12
32,John Adams,John Adams,Diary,Directed,1774-09-12
33,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-12
34,John Adams,John Adams,Diary,Directed,1774-09-13
35,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-13
36,John Adams,John Adams,Diary,Directed,1774-09-14
37,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-14
38,Samuel Adams,Samuel Adams,Committee of Correspondence,Directed,1774-09-14
39,John Adams,John Adams,Mrs. Adams,Directed,1774-09-14
40,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-15
41,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-16 
42,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-16
43,John Adams,John Adams,Mrs. Adams,Directed,1774-09-16
44,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-17
45,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-17
46,John Adams,John Adams,Diary,Directed,1774-09-17
47,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-17
48,John Adams,John Adams,Mrs. Adams,Directed,1774-09-18
49,John Adams,John Adams,Mrs. Adams,Directed,1774-09-18
50,George Read,George Read,Mrs. Read,Directed,1774-09-18
51,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-19
52,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-19
53,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-19
54,Samuel Adams,Samuel Adams,Charles Chauncy,Directed,1774-09-19
55,Richard Henry Lee,Richard Henry Lee,William Lee,Directed,1774-09-20
56,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-20
57,John Adams,John Adams,Diary,Directed,1774-09-21
58,James Duane,James Duane,Propositions before Committee on Rights,Directed,1774-09-28
59,John Rutledge,John Rutledge,Resolution proposed in Committee on Rights,Directed,1774-09-28
60,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-23
61,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-23
62,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-24
63,Samuel Adams,Samuel Adams,Joseph Warren,Directed,1774-09-25
64,John Adams,John Adams,Mrs. Adams,Directed,1774-09-25
65,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-26
66,John Adams,John Adams,Joseph Palmer,Directed,1774-09-26
67,John Adams,John Adams,Notes of Debates,Directed,1774-09-26
68,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-28
69,John Adams,John Adams,Notes of Debates,Directed,1774-09-28
70,Joseph Galloway,Joseph Galloway,Statement,Directed,1774-09-28
71,Joseph Galloway,Joseph Galloway,Statement relative to his plan of Union,Directed,1774-09-28
72,Joseph Galloway,Joseph Galloway,Statement relative to his plan of Union,Directed,1774-09-28
73,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-29
74,John Adams,John Adams,William Tudor,Directed,1774-09-29
75,John Adams,John Adams,Mrs. Adams,Directed,1774-09-29
76,James Duane,James Duane,Proposed Resolve,Directed,1774-10-03
77,Samuel Ward,Samuel Ward,Joseph Wanton,Directed,1774-10-03
78,Thomas Cushing,Thomas Cushing,Mrs. Cushing,Directed,1774-10-04
79,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-04
80,John Adams,John Adams,Diary,Directed,1774-10-04
81,John Sullivan,John Sullivan,John Langdon,Directed,1774-10-05
82,John Adams,John Adams,Notes of Debates,Directed,1774-10-06
83,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-06
84,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-07
85,John Adams,John Adams,William Tudor,Directed,1774-10-07
86,John Adams,John Adams,Mrs. Adams,Directed,1774-10-07
87,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-08
88,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-08
89,John Adams,John Adams,Mrs. Adams,Directed,1774-10-09
90,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-10
91,John Adams,John Adams,Diary,Directed,1774-10-10
92,Samuel Adams,Samuel Adams,General Gage,Directed,1774-10-10
93,Connecticut Delegates,Connecticut Delegates,Jonathan Trumbull sr.,Directed,1774-10-10
94,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-11
95,John Adams,John Adams,Diary,Directed,1774-10-11
96,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-12
97,James Duane,James Duane,Notes of Debates,Directed,1774-10-12
98,James Duane,James Duane,Notes of Debates,Directed,1774-10-13
99,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-13
100,John Adams,John Adams,Diary,Directed,1774-10-13
101,James Duane,James Duane,Notes of Debates,Directed,1774-10-14
102,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-14
103,John Adams,John Adams,Diary,Directed,1774-10-16
104,George Read,George Read,Mrs. Read,Directed,1774-10-16
105,James Duane,James Duane,Notes of Debates,Directed,1774-10-17
106,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-18  
107,John Adams,John Adams,Diary,Directed,1774-10-20
108,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-21
109,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-24
110,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-22
111,Silas Deane,Silas Deane,Jonathan Trumbull sr.,Directed,1774-10-22
112,John Adams,John Adams,Diary,Directed,1774-10-24
113,George Read,George Read,Mrs. Read,Directed,1774-10-24
114,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-25
115,John Adams,John Adams,Diary,Directed,1774-10-25
116,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-26
117,John Dickinson,John Dickinson,Arthur Lee,Directed,1774-10-27
118,Joseph Hewes,Joseph Hewes,James Iredell,Directed,1774-10-31
119,Edward Rutledge,Edward Rutledge,Thomas Bee,Directed,1774-10-31
120, New York Delegates, New York Delegates, Chairman and Freeholders of Dutchess County,Directed,1774-11-07
121,South Carolina Delegates,South Carolina Delegates,Report to Provincial Congress,Directed,1774-11-07
122,John Adams,John Adams,Edward Biddle,Directed,1774-12-12
123,James Duane,James Duane,Samuel Chase,Directed,1774-12-29
124,Richard Henry Lee,Richard Henry Lee,William Lee,Directed,1775-05-10
125,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1775-05-11
126,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-05-12
127,Samuel Ward,Samuel Ward,Diary,Directed,1775-05-15
128,New York Delegates,New York Delegates, New York Committee of Safety,Directed,1775-05-16
129,New York Delegates,New York Delegates, Committee for City and County of Albany,Directed,1775-05-18
130,George Read,George Read,Mrs. Read,Directed,1775-05-18
131,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-05-18
132,Silas Deane,Silas Deane,Jonathan Trumbull sr.,Directed,1775-05-19
133,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-05-21
134,John Adams,John Adams,James Warren,Directed,1775-05-21
135,James Wilson,James Wilson,John Montgomery,Directed,1775-05-22
136,New Hampshire Delegates,New Hampshire Delegates, New Hampshire Provincial Committee,Directed,1775-05-22
137,William Hooper,William Hooper,Samuel Johnston,Directed,1775-05-23
138,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-05-23
139,George Read,George Read,Mrs. Read,Directed,1775-05-23
140,Samuel Ward,Samuel Ward,Diary,Directed,1775-05-24
141,James Duane,James Duane,Notes on State of Colonies,Directed,1775-05-25
142,New Hampshire Delegates,New Hampshire Delegates,a Committee of Congress,Directed,1775-05-27
143,John Adams,John Adams,Mrs. Adams,Directed,1775-05-29
144,Edmund Pendleton,Edmund Pendleton,William Woodford,Directed,1775-05-30
145,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-05-30
146,George Ross,George Ross, Lancaster Committee of Correspondence,Directed,1775-05-30
147,Connecticut Delegates,Connecticut Delegates,William Williams,Directed,1775-05-31
148,Benjamin Franklin,Benjamin Franklin,Proposed Resolutions,Directed,1775-05-10
149,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-02
150,John Adams,John Adams,Mrs. Adams,Directed,1775-06-02
151,Samuel Ward,Samuel Ward,Diary,Directed,1775-06-03
152,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-06-03
153,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-06-03
154,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-03
155,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-06-05
156,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-06
157,John Adams,John Adams,James Warren,Directed,1775-06-07
158,John Morton,John Morton,Thomas Powell,Directed,1775-06-08
159,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-06-08
160,John Hancock,John Hancock, Massachusetts Provincial Congress,Directed,1775-06-10
161,John Adams,John Adams,Mrs. Adams,Directed,1775-06-10
162,John Adams,John Adams,Moses Gill,Directed,1775-06-10
163,Thomas Cushing,Thomas Cushing,Joseph Hawley,Directed,1775-06-10
164,Thomas Cushing,Thomas Cushing,Elbridge Gerry,Directed,1775-06-10
165,John Hancock,John Hancock, New York Provincial Congress,Directed,1775-06-10
166,John Hancock,John Hancock,Jonathan Trumbull sr.,Directed,1775-06-10
167,John Hancock,John Hancock, Massachusetts Provincial Congress,Directed,1775-06-10
168,Samuel Adams,Samuel Adams,James Warren,Directed,1775-06-10
169,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-06-10
170,George Clinton,George Clinton,John McKesson,Directed,1775-06-10
171,Connecticut Delegates,Connecticut Delegates,Jonathan Trumbull sr.,Directed,1775-06-12
172,Samuel Ward,Samuel Ward,Diary,Directed,1775-06-12
173,One of Virginia Delegates,One of Virginia Delegates,unknown,Directed,1775-06-13
174,One of Virginia Delegates,One of Virginia Delegates,unknown,Directed,1775-06-14
175,George Clinton,George Clinton,John McKesson,Directed,1775-06-15
176,Pennsylvania Delegates,Pennsylvania Delegates, Committee of Correspondence of Cumberland County,Directed,1775-06-15
177,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-16
178,Eliphalet Dyer,Eliphalet Dyer,Jonathan Trumbull sr.,Directed,1775-06-18
179,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-06-17
180,James Duane,James Duane, New York Provincial Congress,Directed,1775-06-17
181,John Adams,John Adams,Mrs. Adams,Directed,1775-06-17
182,John Adams,John Adams,Mrs. Adams,Directed,1775-06-18
