id,Source,Target,label
1,John Adams,Diary,Diary
2,Silas Deane,Mrs. Deane,Mrs. Deane
3,Samuel Ward,Diary,Diary
4,Joseph Galloway,William Franklin,William Franklin
5,John Adams,Diary,Diary
6,James Duane,Notes of Proceedings,Notes of Proceedings
7,Joseph Galloway,William Franklin,William Franklin
8,Samuel Ward,Diary,Diary
9,John Adams,Diary,Diary
10,Silas Deane,Mrs. Deane,Mrs. Deane
11,Samuel Ward,Diary,Diary
12,James Duane,Notes of Proceedings,Notes of Proceedings
13,John Adams,Notes of Debates,Notes of Debates
14,James Duane,Notes of Proceedings,Notes of Proceedings
15,Silas Deane,Mrs. Deane,Mrs. Deane
16,Samuel Ward,Diary,Diary
17,John Adams,Diary,Diary
18,John Adams,Mrs. Adams,Mrs. Adams
19,John Adams,Diary,Diary
20,John Adams,Notes of Debates,Notes of Debates
21,Samuel Ward,Diary,Diary
22,James Duane,Address before Committee on state Rights of Colonies,Address before Committee on state Rights of Colonies
23,Silas Deane,Mrs. Deane,Mrs. Deane
24,Silas Deane,Mrs. Deane,Mrs. Deane
25,Samuel Adams,Joseph Warren,Joseph Warren
26,Samuel Ward,Diary,Diary
27,Caesar Rodney,Thomas Rodney,Thomas Rodney
28,Samuel Ward,Diary,Diary
29,John Adams,Diary,Diary
30,Silas Deane,Mrs. Deane,Mrs. Deane
31,Samuel Ward,Diary,Diary
32,John Adams,Diary,Diary
33,Caesar Rodney,Thomas Rodney,Thomas Rodney
34,John Adams,Diary,Diary
35,Samuel Ward,Diary,Diary
36,John Adams,Diary,Diary
37,Samuel Ward,Diary,Diary
38,Samuel Adams,Committee of Correspondence,Committee of Correspondence
39,John Adams,Mrs. Adams,Mrs. Adams
40,Samuel Ward,Diary,Diary
41,Silas Deane,Mrs. Deane,Mrs. Deane
42,Samuel Ward,Diary,Diary
43,John Adams,Mrs. Adams,Mrs. Adams
44,Samuel Ward,Diary,Diary
45,Caesar Rodney,Thomas Rodney,Thomas Rodney
46,John Adams,Diary,Diary
47,Silas Deane,Mrs. Deane,Mrs. Deane
48,John Adams,Mrs. Adams,Mrs. Adams
49,John Adams,Mrs. Adams,Mrs. Adams
50,George Read,Mrs. Read,Mrs. Read
51,Samuel Ward,Diary,Diary
52,Silas Deane,Mrs. Deane,Mrs. Deane
53,Caesar Rodney,Thomas Rodney,Thomas Rodney
54,Samuel Adams,Charles Chauncy,Charles Chauncy
55,Richard Henry Lee,William Lee,William Lee
56,Samuel Ward,Diary,Diary
57,John Adams,Diary,Diary
58,James Duane,Propositions before Committee on Rights,Propositions before Committee on Rights
59,John Rutledge,Resolution proposed in Committee on Rights,Resolution proposed in Committee on Rights
60,Samuel Ward,Diary,Diary
61,Silas Deane,Mrs. Deane,Mrs. Deane
62,Samuel Ward,Diary,Diary
63,Samuel Adams,Joseph Warren,Joseph Warren
64,John Adams,Mrs. Adams,Mrs. Adams
65,Samuel Ward,Diary,Diary
66,John Adams,Joseph Palmer,Joseph Palmer
67,John Adams,Notes of Debates,Notes of Debates
68,Samuel Ward,Diary,Diary
69,John Adams,Notes of Debates,Notes of Debates
70,Joseph Galloway,Statement,Statement
71,Joseph Galloway,Statement relative to his plan of Union,Statement relative to his plan of Union
72,Joseph Galloway,Statement relative to his plan of Union,Statement relative to his plan of Union
73,Samuel Ward,Diary,Diary
74,John Adams,William Tudor,William Tudor
75,John Adams,Mrs. Adams,Mrs. Adams
76,James Duane,Proposed Resolve,Proposed Resolve
77,Samuel Ward,Joseph Wanton,Joseph Wanton
78,Thomas Cushing,Mrs. Cushing,Mrs. Cushing
79,Samuel Ward,Diary,Diary
80,John Adams,Diary,Diary
81,John Sullivan,John Langdon,John Langdon
82,John Adams,Notes of Debates,Notes of Debates
83,Samuel Ward,Diary,Diary
84,Samuel Ward,Diary,Diary
85,John Adams,William Tudor,William Tudor
86,John Adams,Mrs. Adams,Mrs. Adams
87,Samuel Ward,Diary,Diary
88,Joseph Galloway,Statement to a Committee of House of Commons,Statement to a Committee of House of Commons
89,John Adams,Mrs. Adams,Mrs. Adams
90,Joseph Galloway,Statement to a Committee of House of Commons,Statement to a Committee of House of Commons
91,John Adams,Diary,Diary
92,Samuel Adams,General Gage,General Gage
93,Connecticut Delegates,Jonathan Trumbull sr.,Jonathan Trumbull sr.
94,Samuel Ward,Diary,Diary
95,John Adams,Diary,Diary
96,Samuel Ward,Diary,Diary
97,James Duane,Notes of Debates,Notes of Debates
98,James Duane,Notes of I debates,Notes of I debates
99,Samuel Ward,Diary,Diary
100,John Adams,Diary,Diary
101,James Duane,Notes of Debates,Notes of Debates
102,Joseph Galloway,Statement to a Committee of House of Commons,Statement to a Committee of House of Commons
103,John Adams,Diary,Diary
104,George Read,Mrs. Read,Mrs. Read
105,James Duane,Notes of Debates,Notes of Debates
106,Samuel Ward,Diary,Diary
107,John Adams,Diary,Diary
108,Samuel Ward,Diary,Diary
109,Joseph Galloway,Statement to a Committee of House of Commons,Statement to a Committee of House of Commons
110,Samuel Ward,Diary,Diary
111,Silas Deane,Jonathan Trumbull sr.,Jonathan Trumbull sr.
112,John Adams,Diary,Diary
113,George Read,Mrs. Read,Mrs. Read
114,Samuel Ward,Diary,Diary
115,John Adams,Diary,Diary
116,Samuel Ward,Diary,Diary
117,John Dickinson,Arthur Lee,Arthur Lee
118,Joseph Hewes,James Iredell,James Iredell
119,Edward Rutledge,Thomas Bee,Thomas Bee
120, New York Delegates, Chairman and Freeholders of Dutchess County, Chairman and Freeholders of Dutchess County
121,South Carolina Delegates,Report to Provincial Congress,Report to Provincial Congress
122,John Adams,Edward Biddle,Edward Biddle
123,James Duane,Samuel Chase,Samuel Chase
124,Richard Henry Lee,William Lee,William Lee
125,Caesar Rodney,Thomas Rodney,Thomas Rodney
126,Silas Deane,Mrs. Deane,Mrs. Deane
127,Samuel Ward,Diary,Diary
128,New York Delegates, New York Committee of Safety, New York Committee of Safety
129,New York Delegates, Committee for City and County of Albany, Committee for City and County of Albany
130,George Read,Mrs. Read,Mrs. Read
131,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
132,Silas Deane,Jonathan Trumbull sr.,Jonathan Trumbull sr.
133,Silas Deane,Mrs. Deane,Mrs. Deane
134,John Adams,James Warren,James Warren
135,James Wilson,John Montgomery,John Montgomery
136,New Hampshire Delegates, New Hampshire Provincial Committee, New Hampshire Provincial Committee
137,William Hooper,Samuel Johnston,Samuel Johnston
138,Joseph Hewes,Samuel Johnston,Samuel Johnston
139,George Read,Mrs. Read,Mrs. Read
140,Samuel Ward,Diary,Diary
141,James Duane,Notes on State of Colonies,Notes on State of Colonies
142,New Hampshire Delegates,a Committee of Congress,a Committee of Congress
143,John Adams,Mrs. Adams,Mrs. Adams
144,Edmund Pendleton,William Woodford,William Woodford
145,New York Delegates, Provincial Congress, Provincial Congress
146,George Ross, Lancaster Committee of Correspondence, Lancaster Committee of Correspondence
147,Connecticut Delegates,William Williams,William Williams
148,Benjamin Franklin,Proposed Resolutions,Proposed Resolutions
149,Silas Deane,Mrs. Deane,Mrs. Deane
150,John Adams,Mrs. Adams,Mrs. Adams
151,Samuel Ward,Diary,Diary
152,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
153,New York Delegates, Provincial Congress, Provincial Congress
154,Silas Deane,Mrs. Deane,Mrs. Deane
155,Joseph Hewes,Samuel Johnston,Samuel Johnston
156,Silas Deane,Mrs. Deane,Mrs. Deane
157,John Adams,James Warren,James Warren
158,John Morton,Thomas Powell,Thomas Powell
