id,Source,Target,Date
1,John Adams,Diary,1774-09-03
2,Silas Deane,Mrs. Deane,1774-09-03
3,Samuel Ward,Diary,1774-09-04
4,Joseph Galloway,William Franklin,1774-09-03
5,John Adams,Diary,1774-09-05
6,James Duane,Notes of Proceedings,1774-09-05
7,Joseph Galloway,William Franklin,1774-09-05
8,Samuel Ward,Diary,1775-09-05
9,John Adams,Diary,1774-09-06
10,Silas Deane,Mrs. Deane,1774-09-06
11,Samuel Ward,Diary,1774-09-06
12,James Duane,Notes of Proceedings,1774-09-06
13,John Adams,Notes of Debates,1774-09-06
14,James Duane,Notes of Proceedings,1774-09-07
15,Silas Deane,Mrs. Deane,1774-09-07
16,Samuel Ward,Diary,1774-09-07
17,John Adams,Diary,1774-09-07
18,John Adams,Mrs. Adams,1774-09-08
19,John Adams,Diary,1774-09-08
20,John Adams,Notes of Debates,1774-09-08
21,Samuel Ward,Diary,1774-09-08
22,James Duane,Address before Committee on state Rights of Colonies,1774-09-08
23,Silas Deane,Mrs. Deane,1774-09-08
24,Silas Deane,Mrs. Deane,1774-09-09
25,Samuel Adams,Joseph Warren,1774-09-09
26,Samuel Ward,Diary,1774-09-09
27,Caesar Rodney,Thomas Rodney,1774-09-09
28,Samuel Ward,Diary,1774-09-10
29,John Adams,Diary,1774-09-10
30,Silas Deane,Mrs. Deane,1774-09-10
31,Samuel Ward,Diary,1774-09-12
32,John Adams,Diary,1774-09-12
33,Caesar Rodney,Thomas Rodney,1774-09-12
34,John Adams,Diary,1774-09-13
35,Samuel Ward,Diary,1774-09-13
36,John Adams,Diary,1774-09-14
37,Samuel Ward,Diary,1774-09-14
38,Samuel Adams,Committee of Correspondence,1774-09-14
39,John Adams,Mrs. Adams,1774-09-14
40,Samuel Ward,Diary,1774-09-15
41,Silas Deane,Mrs. Deane,1774-09-16 
42,Samuel Ward,Diary,1774-09-16
43,John Adams,Mrs. Adams,1774-09-16
44,Samuel Ward,Diary,1774-09-17
45,Caesar Rodney,Thomas Rodney,1774-09-17
46,John Adams,Diary,1774-09-17
