id,source,target,label
1,John Dickinson,Josiah Harmar,Josiah Harmar
2,Josiah Harmar,John Dickinson,John Dickinson
3,John Dickinson,Robert Morris,Robert Morris
4,Robert Morris,John Dickinson,John Dickinson
5,Josiah Harmar,John Dickinson,John Dickinson
6,Josiah Harmar,John Dickinson,John Dickinson
7,Richard Butler and Arthur Lee,John Dickinson,John Dickinson
8,Josiah Harmar,John Dickinson,John Dickinson
9,John McDowell ,John Dickinson,John Dickinson
10,Josiah Harmar,John Dickinson,John Dickinson
11,Josiah Harmar,John Dickinson,John Dickinson
12,Josiah Harmar,John Dickinson,John Dickinson
13,Josiah Harmar,John Dickinson,John Dickinson
14,Josiah Harmar,John Dickinson,John Dickinson
15,Charles Thomson,John Dickinson,John Dickinson
16,Josiah Harmar,John Dickinson,John Dickinson
17,Josiah Harmar,Richard Henry Lee,Richard Henry Lee
18,John Emerson,Inhabitants of the west side of the Ohio River,Inhabitants of the west side of the Ohio River
19,John Armstrong Jr.,Josiah Harmar,Josiah Harmar
20,Charles Thomson,John Dickinson,John Dickinson
21,Henry Knox,John Dickinson,John Dickinson
22,John Dickinson,Henry Knox,Henry Knox
23,Josiah Harmar,John Dickinson,John Dickinson
24,Josiah Harmar,Henry Knox,Henry Knox
25,Josiah Harmar,John Dickinson,John Dickinson
26,Josiah Harmar,Francis Johnston,Francis Johnston
27,Josiah Harmar,Thomas Mifflin,Thomas Mifflin
28,"John Armstrong, Jr.",Henry Knox,Henry Knox
29,Josiah Harmar,John Dickinson,John Dickinson
30,Josiah Harmar,Henry Knox,Henry Knox
31,Josiah Harmar,"John Armstrong, Jr. ","John Armstrong, Jr. "
32,Josiah Harmar,John Dickinson,John Dickinson
33,Henry Knox,John Dickinson,John Dickinson
34,John Dickinson,Henry Knox,Henry Knox
35,Josiah Harmar,John Dickinson,John Dickinson
36,John Dickinson,Pennsylvania Delegates to U.S. Congress,Pennsylvania Delegates to U.S. Congress
37,John Doughty,Henry Knox,Henry Knox
38,Josiah Harmar,Henry Knox,Henry Knox
39,Josiah Harmar,Henry Knox,Henry Knox
40,Josiah Harmar,Henry Knox,Henry Knox
41,Josiah Harmar,Henry Knox,Henry Knox
42,Philip Liebert,Josiah Harmar,Josiah Harmar
43,Josiah Harmar,Henry Knox,Henry Knox
44,Josiah Harmar,Henry Knox,Henry Knox
45,Josiah Harmar,Henry Knox,Henry Knox
46,Josiah Harmar,Henry Knox,Henry Knox
47,Josiah Harmar,Henry Knox,Henry Knox
48,Josiah Harmar,Henry Knox,Henry Knox
49,Josiah Harmar,Henry Knox,Henry Knox
50,Josiah Harmar,Henry Knox,Henry Knox
51,Josiah Harmar,Arthur St. Clair,Arthur St. Clair
52,Charles Thomson,Arthur St. Clair,Arthur St. Clair
53,Josiah Harmar,Henry Knox,Henry Knox
54,Josiah Harmar,Henry Knox,Henry Knox
